Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
Tecrübeli ya da tecrübesiz adaylar,"Muaf, Yapıldı",Kalite,Kalite Güvence Mühendisi,Bursa(Gemlik),Çimtaş,"GENEL NİTELİKLER VE İŞ TANIMI
Çimtaş Grubu yıllık 210.000 tonluk üretim kapasiteli 7 tesisiyle petrol, gaz, kimya ve enerji sanayilerinin, keza çelik köprü, çelik yüksek yapı ve benzeri inşaat projelerinin önde gelen uluslararası müşterilerine mühendislik, kaynaklı imalat, hassas işleme, modülarizasyon, gemi inşa ve montaj hizmetleri vermektedir. Çimtaş Grup bünyesinde faaliyet gösteren Çimtaş Hassas İşleme San. ve Tic Ltd. Şti küresel OEM (Orijinal Ürün Üreticileri)’nin endüstriyel ve havacılık gaz türbin motorlarına parça ve modül üreten yüksek teknolojiye sahip bir üretim tesisidir. 
Bursa / Gemlik’te faaliyet göstermekte olan Çimtaş Hassas İşleme San. ve Tic. Ltd. Şti.’de  Kalite Güvence Mühendisi olarak görev yapacak, aşağıda belirtilen özellikleri taşıyan, donanımlı ve enerjik takım arkadaşları arıyoruz. 
Üniversitelerin mühendislik fakültelerinden tercihen Endüstri veya Metalurji ve Malzeme Mühendisliği bölümlerinden mezun, 
Kalite Güvence konusunda, tercihen Havacılık ve Savunma sanayinde en az 3 yıl deneyimli veya yetiştirilmek üzere,
Tercihen ISO 9001, OHSAS 18001, ISO 14001 iç denetçi sertifikalarına sahip, AS 9100 yönetim sistemi, VDA proses denetimi standardı ve NADCAP sertifikasyon süreci konusunda bilgi sahibi,
FMEA risk değerlendirme metodolojisi, İstatistiksel Proses Kontrolü (SPC) ve Ölçüm Sistemi Analizi (MSA) hakkında bilgi sahibi,
Tercihen yalın yönetim uygulamaları konusunda tecrübeli,
İyi seviyede yazılı ve sözlü İngilizce bilen,
Takım çalışmasına yatkın, iletişim becerileri güçlü,
Yoğun iş temposuna ayak uydurabilecek, esnek çalışma saatlerine uyumlu,
Bursa / Gemlik güzergahında ikamet eden / edebilecek,
Erkek adaylar için askerlik ile ilişiği bulunmayan 
İŞ TANIMI
Kalite sistem dokümantasyonlarının (AS 9100, NADCAP, ISO, OHSAS vb.) hazırlanması, takibi ve güncelliğinin sağlanması,
İç denetimlerin planlanması ve gerçekleştirilmesi,
Belgelendirme denetimlerine katılınması ve denetçilere rehberlik edilmesi,
Bölümlere ait kalite dokümanlarının periyodik olarak gözden geçirilmesi ve güncelliğinin sağlanması,
Düzeltici – önleyici faaliyetlerin başlatılması, ilgililerin bilgilendirilmesi ve sonuçlarının takibi,
Kalibrasyon çalışmalarının yürütülmesi,
Ulusal / uluslararası standartların temini, kontrolü ve güncelliğinin takibi,
Müşteri şikayetlerinin kayıt altına alınması ve takibi,
Uygunsuzlukların takibi ve raporlanması. ",1000-1500,24947,175
3 - 10 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",Bilgi Teknolojileri / IT,Yazılım Danışmanı (İK Yönetimi Modülleri),İstanbul(Avr.)(Esenler),Bilge Adam Bilişim Grubu,"GENEL NİTELİKLER VE İŞ TANIMI
1000'den fazla kişiden oluşan Bilge Adam ailesine katılmaya ve geleceği bizimle gerçekleştirmeye hazır mısınız? Türkiye ’nin köklü ve lider bilgi teknolojileri şirketi müşterimiz için ""Yazılım Danışmanı (İnsan Kaynakları Yönetimi Modülleri)"" arayışımız bulunmaktadır.
Rekabetçi çözümlerin ancak motive ve hevesli ekip tarafından geliştirilebileceğine inanıyoruz. Bu nedenle ekip üyelerimiz alanında en iyi mühendisler ve uzmanlar arasından seçildi. İşte iş ilanımızın detayları:
        Yazılımcı olarak İnsan Kaynakları Yönetimi Modüleri (Organizasyon, İş Alım Süreçleri, Bordro-Tahakkuk, İzin, Görev-Harcırah, Performans Değerlendirme,...) uygulamalarında 3 yıl ve üstü deneyimi olan,
       Minimum 3 yıllık Yazılım deneyiminin tercihen Bankacılık sektöründe olması,
        Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği, Endüstri Mühendisliği, İşletme Mühendisliği, İşletme, İktisat, İstatistik veya ilgili alanlarından mezun,
        Tercihen iyi derecede İngilizce bilen,
        Yazılımcı olarak React+Typescript, C# ve .Net tecrübesi olan,
        Veritabanı tarafında Oracle PL/SQL bilen,
        Analitik düşünme ve problem çözme yetkinliğine sahip,
        Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren adaylar.",0-50,399,19
En az 3 yıl tecrübeli adaylar,"Yapıldı, Muaf",Bilgi Teknolojileri / IT,Ödeme ve Satış Sistemleri Analisti,"İstanbul(Avr.), İstanbul(Asya)",DeFacto Perakende Ticaret Anonim Şirketi,"GENEL NİTELİKLER VE İŞ TANIMI
Artılar dünyası DeFacto!

2019 yılında 16.000 çalışan sayısına ulaşacak DeFacto’da...


Mutluluğunu önemseyen, sadece mutluluğun için çalışan bir ekip ve Mutluluk Müdürü var... 
+1 mutluluk var!

Kadrolu spor eğitmeni, spor salonu ve kaliteli yaşam danışmanı ile sağlıklı bir yaşam var... 
+1 sağlık var!
 
Aradığımız özellikler ve temel fonksiyonlar sana uyuyorsa aramıza Sen De Gel, sen de hayatına ve hayatımıza +1 değer kat ve birlikte Geleceğe Depar atalım!
 Aradığımız Özellikler,
Üniversitelerin Endüstri Mühendisliği, İşletme Mühendisliği, Matematik, Sistem Mühendisliği, MIS, İstatistik, Ekonometri bölümlerinden mezun.
Ödeme ve satış sistemleri alanında, tercihen perakende sektöründe, en az 3 yıl deneyimli.
İyi seviyede SQL bilgisi olan.
İyi derecede İngilizce bilen.
MS Office programlarını ileri düzeyde kullanabilen.
Erkek adaylar için askerlik hizmetini tamamlamış.
İş takibi, süreç yönetimi, proje yönetimi ve dokümantasyon konusunda tecrübeli.
Planlı ve disiplinli çalışma alışkanlığı olan, tercihen bir talep yönetimi uygulaması kullanmış, talep yönetimi ve uygulama geliştirme süreçlerine hakim.
Tercihen Agile çalışma kültürünü deneyimlemiş.
Yeni teknolojileri araştırmayı ve öğrenmeyi seven, özelikle ödeme ve satış sistemleri alanındaki mobil ve dijital dönüşümleri yakından takip edebilecek.

Temel Fonksiyonlar,
Tüm ödeme ve satış sistemlerini geliştiren ve yöneten ekipte iş analisti sorumluluğunun üstlenilmesi.
Hem kurum içi hem de üçüncü parti firmalar tarafından geliştirilen sorumluluk alanındaki projelerde, taleplerin oluşmasından canlı ortama taşınmasına kadar tüm analiz, geliştirme ve test süreçlerinin uçtan uca takip edilmesi,
Müşterilerden gelen talepleri inceleyerek detaylı analizler için gerekli görüşmelerin yapılması.
Taleplere istinaden gereksinim dokümanlarının hazırlanması ve talep sahibinden onay alınması.
Belirlenen gereksinimlere uygun olarak teknik analiz dokümanlarının hazırlanması,
Kendisine atanmış görevlerle ilgili geri bildirimlerin düzenli olarak yapılması, periyodik iş planlarının hazırlanması ve takibi.
Ödeme ve Satış sistemlerindeki teknolojik ve resmi mevzuatlarla alakalı yeniliklerin takip edilmesi ve firmaya uyarlanması için gerekli çalışmaların yapılması",300-500,2608,34
6 - 10 yıl tecrübeli adaylar,Yapıldı,Satış ve Pazarlama,SATIŞ MÜDÜRÜ,Ankara,Doğuş Sanayi Kimyasalları,"GENEL NİTELİKLER VE İŞ TANIMI
Sektöründe lider olan Doğuş Sanayi Kimyasalları Şirketimizin;
Endüstriyel Çözümler Bölümünde görevlendirilmek üzere; endüstriyel yağlar, yaş ve toz boya satış faliyetleri ve uygulamaları ile yüzey işlem kimyasalları ve uygulamaları konularına ait satış faliyetlerinde deneyimli Ankara' da ikamet eden 'Satış Müdürü'
pozisyonunda ekip yöneticisi alınacaktır.
İŞ TANIMI:
Sektör ve pazara ait satış tahminlerini ve bu tahminlere yönelik satış hedeflerini mümkün hale getirmek için istatistikleri analiz etmek ve izlemek, şirketin satış ve pazarlama politikasına bağlı kalarak mevcut ve yeni müşteri portföyünün oluşturulması için çalışmalar yapmak, satış faliyetlerine ait raporlamaları yerine getirmek, satış ekibini koordine ve takip etmek.
GÖREV, YETKİ VE SORUMLULUKLAR:
Yıllık satış bütçesini hazırlamak,
Yeni pazarlar araştırarak, müşteri ziyaretleriyle yeni portföy oluşturmak,
Ziyaret, teklif ve satış bilgilerini içeren raporları hazırlamak,
Satış bütçelerinin aylık olarak analizlerini yapmak ve raporlamak,
Sektörel satış ve pazarlama gelişimlerini izlemek,
Müşteri ilişkilerini düzenlemeye ve geliştirmeye yönelik çalışmalar yapmak,
Alınan müşteri taleplerinin karşılanması konusunda gerekli organizasyonu sağlamak ve gerektiğinde düzeltici ve/veya önleyici faliyetlerini belirlemek, uygulamak ve uygulatmak,
Tahsilat ile ilgili süreçleri takip ve koordine etmek,
Satış faliyetleri kapsamında detaylı raporlar hazırlamak ve sunmak.
Satış ekibini koordine etmek ve yönlendirmek.
POZİSYONDA ARANILAN YETKİNLİKLER:
Fırsat/Risk değerlendirmesi yapabilen, ticari değerlendirme kabiliyeti kuvvetli,
Geri bildirim, denetleme ve raporlama becerilerine sahip,
Liderlik vasfına sahip olan,
Müşteri merkezli ve çözüm odaklı düşünebilen,
Güçlü bir iletişim diline sahip olan,
Takım çalışması ve yönetimi konusunda deneyimli,
Kritik düşünebilmek ve pratik karar verebilmek,
Yoğun iş temposuna uyum sağlayabilecek,·
B sınıfı ehliyeti olan ve aktif araç kullanabilen,
İyi seviyede İngilizce bilen,
Ms Office uygulamalarına hakim,
SAP ve CRM programlarını kullanabilen,
Seyahat engeli olmayan,
Erkek adaylar için askerlik hizmetini tamamlamış.",300-500,1961,24
En az 2 yıl tecrübeli adaylar,"Yapıldı, Muaf",Satış ve Pazarlama,Sesli Yanıt Sistemi Sorumlusu,İstanbul(Avr.)(Şişli),BOSNET BİLİŞİM HİZMETLERİ A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
İş Tanımı
İstanbul, Şişli, Esentepe'de Teknoloji ve Telekomünikasyon Sektöründe faaliyet gösteren şirketimiz bünyesinde görevlendirilmek üzere ""Sesli Yanıt Sistemi Sorumlusu"" arayışımız bulunmaktadır.
·         Sesli Yanıt Sistemi altyapısının analizi, revizyon gerekliliklerinin belirlenmesi, tasarımı
·         Uygulama dokümanlarının hazırlanması (çağrı akış diyagramları, ses dosyaları vb), takibi ve geliştirilmesi,
·         Sesli Yanıt Sistemi kullanım oranlarını artıracak yeni servis, proje & hizmetler geliştirmek ve bu servislerin performans takibini yapmak ve raporlamak,
·         Servis kullanım istatistikleri, kullanıcı davranış profili gibi raporlama, analiz çalışmalarını yürütmek ve iyileştirici faaliyetlerde bulunmak.
Genel Nitelikler
·         Üniversite mezunu ve en az 2 yıl deneyimli
·         İlgili masa üstü programların kullanımında yetkinlik (Excel, Power Point, Visio vb)
·         İngilizce bilen
·         Analitik düşünen, yenilikçi, problem çözme becerilerine sahip,müşteri odaklı
·         Yazılı ve sözlü iletişimi, insan ilişkileri, ikna kabiliyeti kuvvetli,
·         Ekip çalışmasına yatkın,planlama ve organize etme becerisine sahip, takipçi, sonuç ve müşteri odaklı, dinamik ve yeni teknolojiler öğrenme konusunda iç motivasyonu yüksek, inisiyatif sahibi, yaratıcılık, merak ve gelişme arzusunda olan takım arkadaşları arıyoruz.",50-100,1126,16
Tecrübeli ya da tecrübesiz adaylar,NaN,İnsan Kaynakları,İnsan Kaynakları Analitik Stajyeri,İstanbul(Avr.)(Beşiktaş),YAPI VE KREDİ BANKASI A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Yapı Kredi Bankası İnsan Kaynakları Departmanı’nda İnsan Kaynakları Analitik Stajyeri pozisyonu için, Genel Müdürlük Plaza D Blokta görev yapacak bir ekip arkadaşına ihtiyacımız bulunmaktadır.
Haftanın en az 3 günü katılım sağlayabilecek,
Endüstri Mühendisliği, İşletme Mühendisliği, İstatistik vb. üniversite bölümlerinde okuyan,
Lisans, Yüksek Lisans veya Doktora’da  eğitimine devam eden,
Stratejik kararları desteklemek amacıyla ilgili raporları hazırlayacak,
Farklı verileri bir araya getirerek öngörü, içgörü elde edebilecek,
MS Office programlarına hakim,
Analiz yapma, yönelik temel düzeyde bilgi sahibi olan, 
Bulmaca çözmeyi seven,
İngilizcesi iyi,
Analitik ve iletişim yönü kuvvetli ekip arkadaşı arayışındayız.

YAPI VE KREDİ BANKASI ANONİM ŞİRKETİ KİŞİSEL VERİLERİN KORUNMASI VE İŞLENMESİ ÇALIŞAN ADAYI AYDINLATMA METNİ
a) Veri Sorumlusu ve Temsilcisi
Kişisel verileriniz, veri sorumlusu olarak Yapı ve Kredi Bankası Anonim Şirketi (“Banka”) tarafından 6698 sayılı Kişisel Verilerin Korunması Kanunu (“Kanun”) uyarınca aşağıda açıklanan kapsamda işlenebilecektir.
b) Kişisel Verilerin Hangi Amaçla İşleneceği
Toplanan kişisel verileriniz, Bankamızın insan kaynakları politikalarının ve süreçlerinin planlanması ve yürütülmesi, Banka'nın ticari ve/veya iş stratejilerinin planlanması ve/veya icrası ve Bankamız ve Bankamızla iş ilişkisi içerisinde olan kişilerin hukuki veya teknik güvenliği ile iş sürekliliğinin temini amaçlarıyla Kanun’un 5. ve 6. maddelerinde belirtilen kişisel veri işleme şartları ve amaçları dahilinde işlenecektir.
Kişisel verilerinizin Bankamız tarafından işlenme amaçları konusunda detaylı bilgilere, yapikredi.com.tr internet adresinden kamuoyu ile paylaşılmış olan Yapı ve Kredi Bankası A.Ş. Kişisel Verilerin Korunması ve İşlenmesi Politikası’ndan (“Politika”) ulaşabilirsiniz.
c) İşlenen Kişisel Verilerin Kimlere ve Hangi Amaçla Aktarılabileceği
Toplanan kişisel verileriniz, yukarıda belirtilen amaçlar kapsamında yurt içinde veya yurt dışında bulunan
hissedarlarımıza, iştiraklerimize, kanunen yetkili kamu/özel kurum ve kuruluşlarına, iş ortaklarımıza ve tedarikçilerimize Kanun’da öngörülen temel ilkelere uygun olarak ve Kanun’un 8. ve 9. maddelerinde belirtilen kişisel veri işleme şartları dahilinde aktarılabilecektir.
ç) Kişisel Veri Toplamanın Yöntemi ve Hukuki Sebebi
Kişisel verileriniz Bankamız tarafından matbu formlar, kariyer internet sitemiz ve diğer kariyer siteleri, insan kaynakları danışmanlık şirketleri, Bankamız veya diğer kurumlar tarafından düzenlenen kariyer günleri ve şirket tanıtım etkinlikleri kanallarıyla (yöntemleriyle) elektronik ve/veya fiziki ortamlardan toplanabilecektir. Toplanan kişisel verileriniz, Kanun’un 5. ve 6. maddelerinde belirtilen sözleşmenin kurulması veya ifası ve meşru menfaat, bir hakkın tesisi, kullanılması veya korunması, veri sorumlusunun hukuki yükümlülüğü, kişisel veri işleme şartlarına ve bulunması halinde açık rızanıza dayanılarak toplanabilmektedir.
d) Kişisel Veri Sahibinin Kanun’un 11. Maddesinde Sayılan Hakları
Kişisel veri sahipleri olarak, haklarınıza ilişkin taleplerinizi yazılı veya Kanun’da öngörülen diğer yöntemler ile Bankamıza iletebilirsiniz. Talebinizin niteliğine göre en kısa sürede ve en geç otuz (30) gün içinde başvurularınız ücretsiz olarak sonuçlandıracaktır. Ancak, işlemin ayrıca bir maliyeti gerektirmesi halinde, Banka tarafından Kişisel Verileri Koruma Kurulunca belirlenen tarifedeki ücret alınacaktır. Bu kapsamda kişisel veri sahipleri:
·Kişisel verilerinin işlenip işlenmediğini öğrenme,
·Kişisel verileri işlenmişse buna ilişkin bilgi talep etme,
·Kişisel verilerinin işlenme amacını ve bunların amacına uygun kullanılıp kullanılmadığını öğrenme,
·Yurt içinde veya yurt dışında kişisel verilerinin aktarıldığı üçüncü kişileri bilme,
·Kişisel verilerinin eksik veya yanlış işlenmiş olması halinde bunların düzeltilmesini isteme ve bu kapsamda yapılan işlemin kişisel verilerinin aktarıldığı üçüncü kişilere bildirilmesini isteme,
·Kanun ve ilgili diğer kanun hükümlerine uygun olarak işlenmiş olmasına rağmen, işlenmesini gerektiren sebeplerin ortadan kalkması halinde kişisel verilerinin silinmesini veya yok edilmesini isteme ve bu kapsamda ve kişisel verilerinin eksik veya yanlış işlenmiş olması halinde yapılan işlemlerin kişisel verilerin aktarıldığı üçüncü kişilere bildirilmesini isteme,
·İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi suretiyle kişinin kendisi aleyhine bir sonucun ortaya çıkmasına itiraz etme,
·Kişisel verilerinin kanuna aykırı olarak işlenmesi sebebiyle zarara uğraması halinde zararın giderilmesini talep etme haklarına sahiptir.",1500-2000,9083,33
En az 5 yıl tecrübeli adaylar,Yapıldı,İş Geliştirme,Veri Bilimi Uzmanı,İstanbul(Asya),Sektöründe Lider Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Lisans mezunu (Tercihen Bilgisayar, Elektrik-Elektronik, Matematik, Endüstri Mühendisliği bölümleri ile Matematik ve İstatistik  bölümlerinden mezun olan),
Veri Bilimi alanında 3 yıl toplamda 5 yıl tecrübesi bulunan,
Analitik bakış açısı ve problem çözme becerisine sahip olan,
Teknolojiyi ve yenilikleri yakından takip eden, öğrenmeye ve gelişmeye açık,
Yazılı ve sözlü iletişimi becerisi yüksek olan,
Ekip çalışmasına yatkın olan,
İyi derecede İngilizce bilen,
Veri analitiği disiplinlerinden denetimli öğrenim, denetimsiz öğrenim, güçlendirme öğrenimi, derin öğrenim yöntemlerini kullanarak çözüm üretebilmek, özellikle tahmini analitik, anormallik algılama modellerine hakim olan,
İstatistiksel programlama dillerinden en az birinde bilgi ve deneyim sahibi olan (Java, Python, Scala, veya R gibi),
Büyük veri altyapı sistemlerinde  bilgi ve deneyim sahibi olan (Hadoop, Spark, Hive, MapReduce gibi),
Makine öğrenimi, metin/ses analitiği, doğal dil işleme yöntem ve modellerinde bilgi ve deneyim sahibi olan,
Erkek adaylar için askerlik hizmetini tamamlamış,
İstanbul’da ikamet eden.
İş Tanımı
Perakende sektöründe  faaliyet gösteren firmamızın İstanbul Anadolu yakasında bulunan merkezinde görev alacak “Veri Bilimi Uzmanı “arıyoruz.
Makine öğrenmesinde, örüntü tanımada, metin madenciliğinde,  paralel / dağıtılmış hesaplamada en son teknolojiyi kullanarak büyük miktarda karmaşık verileri iş analizlerine ve çözümlere dönüştürmesi,
Analitik hizmetlerinde en yeni teknolojiler ve araçlar hakkında araştırma yapması ve iş kullanım durumları için prototip geliştirmesi,
Mevcut yapılardaki olası fırsatları araştırması ve öneriler sunması,
Makine öğrenimi ve analitik modelleme için mevcut verilerin fırsat ve kısıtlarını anlamak için iş paydaşlarıyla birlikte çalışması,
Büyük ve dinamik veri kümelerinde analitik kuramı gerçek dünya problemlerine uygulaması,
Müşterilere geri bildirim sağlamak üzere analitik sonuçlar içeren materyaller üretir/üretilmesine destek olması (raporlar, sunumlar, görselleştirmeler),
Canlı sistemdeki analitik sonuçları değerlendirmesi ve geliştirmesi.",50-100,930,27
En az 5 yıl tecrübeli adaylar,"Yapıldı, Muaf",Lojistik,KIDEMLİ LOJİSTİK UZMANI,Kayseri,Yataş AŞ.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin 4 yıllık eğitim veren Mühendislik veya İstatistik, Matematik bölümlerinden mezun,
Tedarik zinciri, lojistik, depolama ve dağıtım süreçlerinde minimum 5 yıl tecrübeli,
MS Office programlarına hakim, tercihen Oracle (ERP) kullanmış,
Planlama, analitik düşünme, raporlama, finansal/bütçe, organizasyon ve iletişim becerileri kuvvetli,
İngilizcesini aktif olarak kullanan, (tercihen ikinci bir dil bilgisi olan)
Esnek çalışma saatlerine uyum sağlayabilecek,
Seyahat engeli olmayan,
Ehliyeti olup, aktif olarak araç kullanabilen,
Erkek adaylar için askerlik hizmetini tamamlamış,
Kayseride ikamet eden,


İŞ TANIMI
Şirket hedefleri doğrultusunda depolama ve dağıtım kapasite planlama projelerinin yürütülmesini sağlayacak,
Lojistik depolama, dağıtım, kurulum ve yatırım bütçelerinin oluşturulmasına yardımcı olacak ve takibini sağlayacak,
Lojistik operasyonları ile ilgili performans göstergelerinin ölçümünü ve takibi yapacak,
Lojistik operasyonlarının sözleşmelerinin yönetimini ve takibini yapacak,
Sipariş süreçlerinin yönetimi ve takibi, günlük planlanan lojistik operasyonların takibini sağlayarak bölümler arası iletişim ağının yönetilmesini sağlayacak,
'Lojistik Kıdemli Uzmanı’ olarak faaliyet gösterecek çalışma arkadaşı arıyoruz.",50-100,1042,12
En az 4 yıl tecrübeli adaylar,"Yapıldı, Muaf",Pazarlama,Ürün Yönetim Uzmanı,"İstanbul(Avr.), İstanbul(Asya)",Yataş AŞ.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin lisans eğitimi veren ilgili bölümlerinden (İşletme , İktisat , İstatistik , ekonometri vb) mezun, tercihen Pazarlama alanında yüksek lisans yapmış,
Ürün yönetimi konusunda minimum 4 yıllık iş tecrübesine sahip,
Mobilya, yatak & baza & başlık ve/veya ev tekstili ürün gruplarında deneyimli,
İngilizce yabancı dilini aktif olarak kullanan,
MS Office (özellikle Excel) programlarına ileri düzeyde hakim , tercihen Oracle kullanan,
Dokümantasyon ve raporlama becerisi gelişmiş, veri toplama ve analizi yetisine sahip,
Ekip çalışmasına yatkın,
Esnek çalışma saatlerine ayak uydurabilecek,
Seyahat engeli olmayan,
Erkek adaylar için askerlik görevini tamamlamış,


İŞ TANIMI
Birim politika ve hedefleri doğrultusunda Yataş Grup' un Enza Home, Yataş Bedding, Divanev markalarının herhangi birinde ürün grubunun tüm analizlerini yapacak, iş planlarının ve bütçelerinin hazırlanmasına destek verecek,
Alternatif ürün önerileri ortaya çıkarmak için pazarı ve yenilikleri takip edecek, rekabet ortamını izleyecek, tüketimi ölçümleyecek,
Mevcut ürünlerin devamlılığı ya da sonlandırılması ile ilgili ürün yaşam eğrileri çıkaracak,
Yeni ürün fikirleri için pazar potansiyeli, maliyet ve üretilebilir olma kriterlerine göre fizibilite çalışmaları yapacak ve değerlendirecek,
Fiyat, satış, stok vb konuları sürekli takip edecek,
Kategorisi ile ilgili tüm dokümantasyon ve raporlama işlemlerini yürütecek,
'Ürün Yönetim Uzmanları' arıyoruz.",750-1000,4729,11
Tecrübeli ya da tecrübesiz adaylar,NaN,Krediler,Kredi Analitiği Yöneticisi,İstanbul(Asya)(Ümraniye),Türkiye Finans Katılım Bankası,"GENEL NİTELİKLER VE İŞ TANIMI
Bizimle kariyere katılmaya var mısın?
 Biz Türkiye Finans ailesinde birlikte üretip başarmanın değerini biliyor, ortak değerlere dayanarak sürekli ilerliyoruz.
Kredi Politikaları ve Stratejileri Müdürlüğüne bağlı Kredi Analitiği Yöneticisi olarak yerini almaya hazır mısın?

Aranan Özellikler

Üniversitelerin İstatistik, Yönetim Bilişim Sistemleri, Matematik Mühendisliği, Endüstri Mühendisliği vb. bölümlerinden mezun,
Min. 4 yıl benzer bir görev tanımında çalışmış,
İstatistik, veri madenciliği ve veri analizi konularında bilgi sahibi,
Karar ağacı yönetimi konularında tecrübeli,
Kredi skorlaması alanında tecrübeli,
Veri analiz programlarına hakim ,
Araştırmacı, problem çözme ve analitik düşünme yeteneğine sahip,
Orta derecede İngilizce bilgisine sahip

İş Tanımı
Kredi başvurularının onay/ret ve limit atama kararlarının verileceği kredi stratejilerinin oluşturulması için gerekli analizlerin yapılması,
Mevcut portföy ve yeni verilen kredilerin periyodik olarak izlenmesi, sonuçlarının analiz edilerek yorumlanması ve stratejilerde gerekli değişiklikleri yapmaya yönelik çalışma ve önerilerde bulunulması
Banka Kredi Politika ve Stratejilerin karar destek sistemine tanımlanması ve IT entegrasyonlarının yapılması
Değerlendirme Sistemi Karar Ağaçları tanımlamalarının yapılması,
Ad-hoc analizler/projelerin yapılması. ",1000-1500,6001,3
En az 3 yıl tecrübeli adaylar,"Yapıldı, Muaf",Finans,Finans ve Bütçe Raporlama Uzmanı,Kocaeli(Gebze),ESİNOKS MÜH.MAK.İNŞ.PET.ÜRÜN.İML.SAN VE TİC.A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üretim sektöründe faaliyette bulunan şirketimizin  Gebze merkez ofisinde görevlendirilmek üzere 
Finans ve Bütçe raporlama uzmanı arayışımız vardır
Genel Nitelikler;
Üniversitelerin İşletme, İktisat, Ekonomi, İstatistik vb. bölümlerinden mezun
·       Finansal raporlama, analiz ve kontrol konularında en az 2 yıl deneyimli
·       Uluslararası Finansal Raporlama Standartları (UFRS) konusunda deneyimli
·       Takım çalışmasına önem veren,
.        Analitik düşünebilen ve Hedef ve sonuç odaklı,
.         İletişim becerisi yüksek,
·       Sayısal analiz yeteneği gelişmiş, problem çözmede başarılı
·        İş takibi ve sonuçlandırılması konusunda başarılı
·       Mali tabloları yorumlayabilen, sunum yeteneği güçlü olan
·       MS Office programlarını (özellikle Excel) ileri derecede kullanabilen
·       İngilizce bilgisine sahip
. Erkek adaylar için askerliğini tamamlamış
 
İşin Tanımı;·   
.    Aylık/Yıllık bütçe ve nakit akış tablolarının hazırlanması
·       Bütçe ve nakit akış tablolarında aylık olarak hedef karşılaştırmalarının ve sapma analizlerinin yapılması
·       Satış ve Maliyet kalemlerinin detaylı analizini gerçekleştirmek ve karlılık
analizlerini yapmak,
·       Aylık ve yıllık  Uluslararası Finansal Raporlama Standartları raporlarının hazırlanması
·       Üst yönetim raporlarının hazırlanması
·       Mali tabloları hazırlamak ve ilgili kontrol ve analizleri yapmak
·       Raporlama düzeninin geliştirilmesi ve sürdürülebilir kalitede devam ettirilmesine
katkıda bulunmak
.       Cari hesapların takibinin sağlanması.
.       Kredi Risklerini izleyip maliyet analizi yapmak ve raporlamak,
.       Gerektiğinde, kredi kullanım operasyonları ve takibinin yapılması ve raporlanması,
.       Banka görüşmelerini sağlayabilecek,
.       Banka işlemleri, çek giriş çıkış işlemleri gibi günlük finans operasyonlarının
gerçekleştirilmesi,
 .      Kur risklerinin takibi Forward işlemler
.     Olası nakit darboğazlarını önceden belirlemek; gerekli önlemlerin zamanında alınması için hareket tarzlarını belirlemek, görüş ve önerileri üst yönetimi bilgilendirmek,

Çalışma saatlerimiz : Hafta içi : 08:00 - 18:15  
                                      ",300-500,3865,96
En az 2 yıl tecrübeli adaylar,"Yapıldı, Muaf",İş Geliştirme,İş Geliştirme Uzmanı,İstanbul(Avr.),Sport in Street,"GENEL NİTELİKLER VE İŞ TANIMI
Tercihen üniversitelerin mühendislik veya iktisadi idari bilimler fakültelerinden mezun,
Tercihen perakende alanında en az 2 yıl deneyim sahibi,
MS Office uygulamalarında (özellikle Excel) ileri düzeyde bilgi sahibi,
Analiz etme ve problem çözme yeteneği güçlü,
Sonuç ve başarı odaklı,
Seyahat engeli bulunmayan,
Erkek adaylar için askerlik görevini tamamlamış.

FLO Mağazacılık ve Pazarlama A.Ş. / Genel Merkezi bünyesinde Perakende In Street Direktörlüğü'ne bağlı olarak aşağıdaki süreçlerden sorumlu olacak ""İş Geliştirme Uzmanı” arayışımız bulunmaktadır.
İlgili birimler ile iletişim halinde olarak operasyonel süreçlerin geliştirilmesine katkıda bulunmak,
Süreç verimliliklerini izlemek adına raporlar oluşturmak ve bu raporların takibini yaparak gerekli aksiyonları almak,
Rekabeti sürekli takip etmek, sahayla iletişim halinde olarak gelişim fırsatlarını tespit etmek,
Standart bir iş yapış modeli oluşturmak adına prosedür ve eğitim dokümanları hazırlamak. Gerektiğinde sınıf ve saha eğitimleri organize ederek bilgi akışı sağlamak.",100-200,500,3
